Timestamp,On what purpose are you regularly visiting the ETH-Campus?,What is your enrollment status at ETH ?,In which department do you study ?,What is your job title at ETH ?,Why do you visit the ETH-Campus regullarly?,On which campus do you stay the most ?,How many days do you visit the above choosen ETH-Campus per week ?,Do you recycle on the ETH-Zentrum-Campus ?,What prevents you from recycling on campus?...10,What do you recycle on Campus?,How often do you recycle on campus?,"What do you recycle the most on campus ?
(check the answer on what you recycle the most)...13",How happy are you with the given recycling infrastructure ?...14,Where is your favourite/most used recycling spot at the ETH-Zentrum-Campus ?,Is there something missing or to be improved in terms of the given recycling infrastructure ?...16,Do you recycle on the ETH-Hönggerberg-Campus?,What prevents you from recycling on campus?...18,What do you recycle on campus?,How often do you recycle on campus ?,"What do you recycle the most on campus ?
(check the answer on what you recycle the most)...21",How happy are you with the given recycling infrastructure ?...22,Where is your favourite/most used recycling spot at the ETH-Hönggerberg-Campus ?,Is there something missing or to be improved in terms of the given recycling infrastructure ?...24,"You answered all necessary questions.
Thanks for your time, and participation.
If there is anything you want to adress use the box below."
2024-05-16T11:36:04Z,Study,Master,D-MTEC,,NA,ETH-Zentrum,2,no,I only prepare my own food and do not buy a lot of stuff.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-16T12:30:18Z,Study,Bachelor,D-MAVT,,NA,ETH-Zentrum,5,yes,NA,"PET, Paper, Electronics",2-3 times a week,Batteries,7,PET bins on the hallways,more signs/increased awareness,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-16T12:32:41Z,Work,NA,NA,,NA,ETH-Höngerberg,7,NA,NA,NA,NA,NA,NA,NA,NA,no,22,NA,NA,NA,NA,NA,NA,NA
2024-05-16T12:35:06Z,Study,Bachelor,D-MAVT,,NA,ETH-Zentrum,5,yes,NA,"PET, Paper",daily,alu,5,the grey bins with three compartments,"Providing more of them and at better locations! i.e. an Alu bin inside of the library, so people don't through their mate in the general waste there already",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-16T12:37:35Z,Study,Master,D-MATH,,NA,ETH-Zentrum,5,yes,NA,"PET, Paper, aluminum",daily,Aluminium cans,8,HG,Add aluminium and organic bins,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-16T12:38:51Z,Study,Master,D-MAVT,,NA,ETH-Zentrum,5,yes,NA,"PET, Glass, Paper, Cardboard",daily,"this is to see if longer answers are accepted, also, 14",7,The PET/Aluminium recycling bins everywhere,more glass and paper recycling points,NA,NA,NA,NA,NA,NA,NA,NA,"cool survey, especially with the pictures! :)"
2024-05-16T12:39:36Z,Study,Master,D-MAVT,,NA,ETH-Zentrum,4,yes,NA,"PET, Paper, Cardboard",4-5 times a week,Papier,6,GLC,no glass containers,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-16T12:40:03Z,Study,Bachelor,D-MAVT,,NA,ETH-Höngerberg,5,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,Cardboard,4-5 times a week,Everything,8,Both,Glass recycling,I like turtles
2024-05-16T12:40:55Z,Work,NA,NA,,NA,ETH-Zentrum,2,yes,NA,"PET, Glass, Paper, Cardboard",daily,Cardboard,7,"In ML building, the recycling bins in our offices",No biowaste recycling that I know of,NA,NA,NA,NA,NA,NA,NA,NA,It's ok thank you :)
2024-05-19T18:05:36Z,Study,Master,D-​BAUG,,NA,ETH-Höngerberg,5,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,"PET, Glass, Paper, aluminium",daily,pet,9,in front of alumni the different trash bins,Can't think about something right now,NA
2024-05-22T09:42:52Z,Work,NA,NA,,NA,ETH-Höngerberg,3,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,"PET, Paper, Cardboard",daily,"Paper, Plastics, Cardboard",8,In front of the Coop,"In my opinion, the visibility and knowledge about the recycling services could be increased.",NA
2024-05-30T13:13:43Z,Study,Master,D-MAVT,,NA,ETH-Zentrum,5,yes,NA,"PET, Glass, Paper, Cardboard",2-3 times a week,aluminum,8,HG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-30T13:24:59Z,Study,Master,D-MAVT,,NA,ETH-Zentrum,2,yes,NA,"PET, Paper",once a week,PET,8,HG,More frequent bins,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-30T13:27:24Z,Study,Master,D-MAVT,,NA,ETH-Zentrum,5,yes,NA,"PET, aluminium",2-3 times a week,alu,4,cla,recycling in rooms,NA,NA,NA,NA,NA,NA,NA,NA,no
2024-05-30T14:32:48Z,Study,Master,D-MAVT,,NA,ETH-Zentrum,5,no,Availability in rooms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-30T18:39:09Z,Study,Bachelor,D-MAVT,,NA,ETH-Zentrum,1,yes,NA,"PET, Glass, Aluminium Cans",once a week,Aluminium Cans,7,Main Building,More Recycling bins,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03T20:44:41Z,Study,Bachelor,D-MAVT,,NA,ETH-Zentrum,3,yes,NA,PET,2-3 times a week,PET,8,HG-main floor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
